Subject_Number,Group,Expt Quarter,Age,Sex,Language Classification,LearningRate,Num_Lessons_Completed,Hint_Use_Java,Forum_Use_Java,Solution_Use_Java,Cheatsheet_Used,Help_Total_Java,Quiz_1_noretake,Quiz_2_noretake,Quiz_3_noretake,Quiz_4_noretake,Quiz_5_noretake,Quiz_7_noretake,Quiz_8_noretake,Quiz_9_noretake,Quiz_10_noretake,Quiz_11_noretake,Quiz_12_noretake,Quiz_13_noretake,Quiz_14_noretake,Quiz_15_noretake,Quiz_16_noretake,Quiz_1_retake,Quiz_2_retake,Quiz_3_retake,Quiz_4_retake,Quiz_5_retake,Quiz_7_retake,Quiz_8_retake,Quiz_9_retake,Quiz_10_retake,Quiz_11_retake,Quiz_12_retake,Quiz_13_retake,Quiz_14_retake,Quiz_15_retake,Quiz_16_retake,QuizACC_NoRetake_Java,QuizSD_NoRetake_Java,QuizACC_Retake_Java,QuizSD_Retake_Java,ExamMC_OverallACC,ExamMC_AllSemanticsACC,ExamMC_AllSyntaxACC,TotalExperiencedCount,TotalExperiencedACC,SemTotalExperiencedACC,SynTotalExperiencedACC,Total_InexperiencedCount,Total_InxperiencedACC,SemTotalInexperiencedACC,SynTotalInexperiencedACC,Droid_Coding_Score,Droid_Coding_ACC,Droid_Debug_Count,Droid_Debug_Penalty,Droid_Debug_Score,Droid_Debug_ACC,CarLoan_Coding_Score,CarLoan_Coding_ACC,CarLoan_Debug_Count,CarLoan_Debug_Penalty,CarLoan_Debug_Score,CarLoan_Debug_ACC,ForDigit-CorrTotal,ForDigit-Span,ForDigit-ReSpan,BackDigit-CorrTotal,BackDigit-Span,BackDigit-ReSpan,RR_Score,RR_Percentile,Comp_Score,Comp_ACC,PSS_ChooseA_ACC,PSS_AvoidB_ACC,PSS_All_ACC,PSS_TrainBlocksNum,PythonProf_AllCount,PythonProf_AllACC,PythonProf_AllSynCount,PythonProf_AllSynACC,PythonProf_AllSemCount,PythonProf_AllSemACC,OpSpan_AccErrorTotal,OpSpan_MathErrorTotal,OpSpan_SpeedErrorTotal,OpSpan_MathCorrect,OpSpan_OspanAbsoluteScore,OpSpan_OspanPartialScore,LEAPQ_LD1,LEAPQ_LD1Acquire,LEAPQ_LD1SpeakProf,LEAPQ_LD1UnderProf,LEAPQ_LD2,LEAPQ_LD2Acquire,LEAPQ_LD2SpeakProf,LEAPQ_LD2UnderProf,LEAPQ_LD3,LEAPQ_LD3Acquire,LEAPQ_LD3SpeakProf,LEAPQ_LD3UnderProf,Handedness,MLAT_I,MLAT_II,MLAT_III,MLAT_IV,MLAT_V,MLAT_Total,MLAT_ACC,MLAT_Percentile,Ravens_Score,NDV_Score,NDV_Percentile,Numeracy,LLAMA_B,LLAMA_F,LLAMA_Version,Simon_Con_RT,Simon_Incon_RT,Simon_Incon-Con_RT,Simon_Con_ACC,Simon_Incon_ACC,Simon_Incon-Con_ACC,Column14,Column15,Column16,Column17,Column18,Column19,Column20
28730,New Part - Java-First,WIN23,18,Female,Early Bilingual,1.18627451,9,36,5,14,0,55,0.85,1,0.8,0.9,1,0.85,0.83,0.83,99999,99999,99999,99999,99999,99999,99999,0.85,1,0.8,0.9,1,0.85,0.83,0.83,99999,99999,99999,99999,99999,99999,99999,0.8825,0.077781746,0.8825,0.077781746,0.66,0.6,0.72,32,0.75,0.666666667,0.933333333,18,0.5,0.5,0.4,30,0.508474576,14,1,13,0.590909091,36.5,0.890243902,16,2,14,0.7,99999,99999,99999,9,5,5.5,234,99999,29,0.763157895,0.5625,0.2500,0.4500,6,99999,99999,99999,99999,99999,99999,1,1,0,1.0000,56,67,English,4,10,10,Mandarin,1,7,8,99999,99999,99999,99999,1,41,29,16,24,22,132,0.6875,70,0.7222,69,83,0.375,0.65,0.55,Online,494.07,542.77,48.7,0.9667,0.8833,-0.0833,,,,,,,
28731,New Part - Java-First,WIN23,18,Male,Monolingual,1.269607843,10,2,2,0,0,4,1,0.87,0.9,0.9,0.85,1,0.83,0.85,0.83,99999,99999,99999,99999,99999,99999,1,0.87,0.9,0.9,0.85,1,0.83,0.85,0.83,99999,99999,99999,99999,99999,99999,0.892222222,0.066290606,0.892222222,0.066290606,0.82,0.84,0.8,36,0.861111111,0.941176471,0.882352941,14,0.714285714,0.625,0.625,36,0.610169492,13.5,3,10.5,0.477272727,39,0.951219512,18,0,18,0.9,9,6,6.5,13,7,7.5,325,87,36,0.947368421,1.0000,1.0000,0.9000,3,99999,99999,99999,99999,99999,99999,1,1,0,1.0000,75,75,english,3,10,10,99999,99999,99999,99999,99999,99999,99999,99999,0.9048,34,20,11,18,11,94,0.489583333,20,0.7778,75,93,0.875,0.45,0.9,Online,500.58,503.61,3.03,0.9167,0.95,0.0333,,,,,,,
28732,New Part - Java-First,WIN23,19,Female,Early Bilingual,0.602941176,5,9,8,5,0,22,0.85,0.87,0.7,0.6,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.85,0.87,0.7,0.6,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.755,0.128192563,0.755,0.128192563,0.4,0.44,0.36,17,0.411764706,0.75,0.125,33,0.393939394,0.294117647,0.470588235,7,0.118644068,6,3,3,0.136363636,22,0.536585366,9,0,9,0.45,8,4,6.5,24,3,3.5,123,5,13,0.342105263,0.5625,0.2500,0.4667,2,99999,99999,99999,99999,99999,99999,6,7,1,0.9000,39,57,Chinese,3,10,9,English,7,8,7,99999,99999,99999,99999,0.9048,41,17,4,14,24,100,0.520833333,30,0.6667,37,14,0.5,0.65,0.7,Online,443.05,497.19,54.14,1,0.95,-0.05,,,,,,,
28733,New Part - Java-First,Dismissed,21,Female,Monolingual,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,7,5,5.5,7,3,3.5,232,52,25,0.657894737,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,,,,,,
28734,New Part - Java-First,WIN23,19,Female,Monolingual,1.083333333,9,15,8,1,2,26,1,0.87,0.8,0.8,0.71,1,0.83,0.71,99999,99999,99999,99999,99999,99999,99999,1,0.87,0.8,0.8,0.71,1,0.83,0.71,99999,99999,99999,99999,99999,99999,99999,0.84,0.112884264,0.84,0.112884264,0.74,0.72,0.76,32,0.875,0.866666667,1,18,0.5,0.5,0.4,24,0.406779661,15,1,14,0.636363636,41,1,20,0,20,1,9,5,5.5,14,8,8,279,75,34,0.894736842,1.0000,0.8125,0.9167,6,99999,99999,99999,99999,99999,99999,2,3,1,0.9750,61,69,English,0,10,10,99999,99999,99999,99999,99999,99999,99999,99999,0.9,41,30,25,17,18,131,0.682291667,70,0.8333,73,90,0.75,0.75,0.65,Online,412.57,436.93,24.36,0.9667,0.95,-0.0167,,,,,,,
28735,New Part - Java-First,WIN23,25,Male,Early Bilingual,2.357843137,17,39,11,5,0,55,0.71,1,1,0.8,0.71,1,1,0.71,0.83,0.6,0.71,0.4,0.66,1,0.37,0.71,1,1,0.8,0.71,1,1,0.71,0.83,0.6,0.71,0.6,0.66,1,0.75,0.7625,0.204173129,0.79875,0.151739909,0.86,0.88,0.84,50,0.86,0.88,0.84,0,99999,99999,99999,43,0.728813559,18,5,13,0.590909091,32,0.780487805,20,0,20,1,6,5,5,7,4,4.5,137,8,31,0.815789474,0.6250,0.8750,0.7167,3,99999,99999,99999,99999,99999,99999,4,4,0,0.9250,26,56,English,3,10,10,Russian,3,8,9,99999,99999,99999,99999,0.4783,39,28,35,15,16,133,0.692708333,70,0.5556,68,81,0.625,0.7,0.8,Online,486.6,497.14,10.54,0.9167,0.9667,0.05,,,,,,,
28736,New Part - Java-First,WIN23,19,Female,Late Bilingual,1.142156863,9,9,1,0,3,13,1,0.87,0.9,0.9,0.71,0.71,1,0.71,99999,99999,99999,99999,99999,99999,99999,1,0.87,0.9,0.9,0.71,0.71,1,0.71,99999,99999,99999,99999,99999,99999,99999,0.85,0.12489996,0.85,0.12489996,0.78,0.76,0.8,32,0.875,0.866666667,1,18,0.611111111,0.6,0.5,27,0.457627119,22,1,21,0.954545455,36,0.87804878,15,0,15,0.75,12,7,7.5,13,7,7.5,299,80,20,0.526315789,0.3125,0.5625,0.5500,1,99999,99999,99999,99999,99999,99999,3,5,2,0.9375,57,69,Vietnamese,0,10,10,English,6,8,8,Japanese,16,1,1,0.9167,43,23,7,18,24,115,0.598958333,50,0.8889,55,46,0.875,0.55,0.85,Online,517.02,514.62,-2.4,0.95,0.9667,0.0167,,,,,,,
28737,New Part - Java-First,WIN23,29,Male,Late Bilingual,1.142156863,10,41,1,60,0,102,0.71,0.75,0.8,0.5,0.28,0.85,0.33,0.14,99999,99999,99999,99999,99999,99999,99999,0.71,0.75,0.8,0.6,0.71,0.85,0.66,0.6,1,99999,99999,99999,99999,99999,99999,0.484444444,0.311010897,0.742222222,0.127845393,0.34,0.44,0.24,32,0.46875,0.666666667,0.333333333,18,0.111111111,0.1,0.1,0,0,0,1,-1,-0.045454545,6,0.146341463,1,0,1,0.05,10,7,7,11,6,6.5,261,68,27,0.710526316,0.5000,0.5000,0.5000,6,99999,99999,99999,99999,99999,99999,3,5,2,0.9500,18,42,Gujarati,3,9,9,English,3,7,8,Hindi,3,7,8,0,10,24,6,7,3,50,0.260416667,3,0.3333,65,74,0.875,0.2,0.65,Online,955.72,1000.43,44.71,0.95,0.9667,0.0167,,,,,,,
28738,New Part - Java-First,WIN23,18,Female,Early Bilingual,1.039215686,9,13,7,3,0,23,0.85,0.87,0.8,0.8,0.85,1,0.33,0.83,99999,99999,99999,99999,99999,99999,99999,0.85,0.87,0.8,0.8,0.85,1,1,0.83,99999,99999,99999,99999,99999,99999,99999,0.79125,0.196791224,0.875,0.08088793,0.68,0.76,0.6,29,0.862068966,1,0.785714286,21,0.428571429,0.454545455,0.363636364,29,0.491525424,15,0,15,0.681818182,40.5,0.987804878,17,0,17,0.85,9,5,7,8,3,8,279,75,36,0.947368421,0.6875,0.4375,0.7167,3,99999,99999,99999,99999,99999,99999,1,1,0,0.9875,55,71,English,3,9,9,Malayalam,1,6,6,Hindi,2,4,7,0.8182,41,29,20,24,23,137,0.713541667,80,0.8333,71,86,0.75,0.75,0.85,Online,594.19,635.15,40.95,0.95,0.9167,-0.0333,,,,,,,
28739,New Part - Java-First,SPR23,20,Female,Monolingual,0.720588235,6,13,9,7,0,29,1,0.87,0.7,0.6,0.57,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.748,0.183221178,0.748,0.183221178,0.6,0.48,0.72,23,0.695652174,0.727272727,0.727272727,27,0.518518519,0.285714286,0.714285714,9,0.152542373,14,3,11,0.5,34,0.829268293,12,1,11,0.55,9,6,6.5,8,4,4.5,299,80,30,0.789473684,1.0000,0.3125,0.5000,1,99999,99999,99999,99999,99999,99999,0,1,1,1.0000,34,59,English,0,10,10,99999,99999,99999,99999,99999,99999,99999,99999,1,41,24,24,9,18,116,0.604166667,50,0.2222,72,88,0.625,0.65,0.75,Online,492.6206897,545.8679245,53.24723487,0.966666667,0.883333333,-0.083333333,,,,,,,
